feature,source,type,definition
aims__asset_sub_type,EA AIMS,categorical,"Recorded asset type (e.g. embankment, wall, flood gate, demountable defence, high ground and related classes) according to the AIMS flood defence register. Used in the model as an ""identity"" feature."
aims__primary_purpose,EA AIMS,categorical,"Primary function the asset was built to serve, according to the AIMS Flood defence register. Used in models as an ""identity"" feature."
aims__protection_type,EA AIMS,categorical,"Class of flood source the asset defends against (e.g. fluvial, tidal, coastal).  Used in models as an ""identity"" feature."
asset_length_log1p,EA AIMS,continuous,"Natural log of asset centreline length in metres + 1. The asset centreline comes from the AIMS Flood Defence register. Log transform applied to correct the heavy right skew of raw length. Used in models as an ""identity"" feature."
age_years,EA AIMS + EIR,continuous,Years between asset_start_date and the date of the inspection that reported the condition grade. Null where asset_start_date is absent - a subset of recorded start dates follow boilerplate patterns and are treated as unverified.
actual_dcl,EA AIMS,continuous,"Recorded actual defence crest level, metres above ordnance datum (mAOD). Correlates with design_dcl at rho > 0.9998, so only one is used in modelling."
design_sop,EA AIMS,continuous,"Design standard of protection, expressed as the return period in years of the event the asset was designed to withstand."
lidar__crest_resid_std,EA LIDAR Composite DTM 1m,continuous,"Standard deviation in metres of the crest elevation residual (calculated along the length of the crest), after removing the elevation trend of the surrounding ground from the crest profile. This is designed to measure any uneven settling or movement in the asset, removing signal like absolute height and difference in height on each side. Has to be interpretted with the survey noise of +/- 0.15m."
lidar__crest_resid_max_dip,EA LIDAR Composite DTM 1m,continuous,"Largest single downward dip in metres of the crest of the asset along its profile, after removing any trend such as a continuous slope. Its the deepest local low point relative to the local trend."
lidar__crest_prominence_median,EA LIDAR Composite DTM 1m,continuous,"Median across sampling points of the prominence in metres of the crest above the surrounding cross section. Cross section means sampling across the asset, perpendicular to the crest, so this represents how prominant the asset is relative to the surrounding terrain on either side."
climate__drydays__30y__rate,HadUK-Grid (Met Office),continuous,"Count of dry days per observable year over the 30 year window ending at the inspection date, sampled at the asset centroid. Rate rather than count to remove signal that could be shared with the asset age."
climate__ftc__30y__rate,HadUK-Grid (Met Office),continuous,"Count of freeze-thaw cycle days per observable year over the 30 year window ending at the inspection date, sampled at the asset centroid. Air temperature is a proxy for the material temperature"
